codigo;nome_unidade;sigla_unidade;unidade_macro
470;Fundação Universidade de Brasília;UNB;UNB
201272;Arquivo Central;ACE;ACE
241104;Coordenação de Arquivo Permanente;ACE/COAP;ACE
201273;Coordenação de Gestão de Documentos;ACE/COGED;ACE
241103;Coordenação de Protocolo;ACE/COP;ACE
241174;Apoio Administrativo;ACE/APOIO;ACE
241040;Assessoria de Acompanhamento e Mediação de Conduta;AAMC;AAMC
24236;Auditoria Interna da UnB;AUD;AUD
297615;Auditoria Adjunta;AUD/ADJ;AUD
16201;Biblioteca Central;BCE;BCE
310384;Direção-Adjunta;BCE/ADJ;BCE
24854;Coordenadoria de Administração e Orçamento;BCE/ADM;BCE
24855;Setor de Administração Predial e Patrimonial;BCE/ADM/PRED;BCE
241148;Setor de Compras;BCE/ADM/COM;BCE
24853;Coordenadoria de Atendimento aos Usuários;BCE/AUS;BCE
24860;Setor de Atendimento Noturno;BCE/AUS/NOT;BCE
241171;Setor de Empréstimo;BCE/AUS/EMP;BCE
201280;Setor de Recolocação;BCE/AUS/REC;BCE
24866;Setor de Referência;BCE/AUS/REF;BCE
24863;Coordenadoria de Formação e Desenvolvimento de Acervos;BCE/FDA;BCE
24859;Setor de Coleções Especiais;BCE/FDA/COLESP;BCE
241169;Setor de Conservação e Restauração;BCE/FDA/RES;BCE
241170;Setor de Organização da Informação;BCE/FDA/SOI;BCE
24861;Setor de Seleção e Aquisição;BCE/FDA/SEL;BCE
241191;Coordenadoria de Gestão da Informação Digital;BCE/GID;BCE
257389;Coordenadoria de Planejamento e Comunicação;BCE/PCOM;BCE
24257;Gabinete da Reitoria;GRE;GRE
245710;Coordenação de Cerimonial;GRE/CERI;GRE
24252;Secretaria de Comunicação;GRE/SECOM;GRE
293187;Coordenação de Comunicação Institucional;GRE/SECOM/CCI;GRE
293186;Coordenação de Comunicação Visual;GRE/SECOM/CCV;GRE
293185;Coordenação de Produção de Conteúdo;GRE/SECOM/CPC;GRE
242850;Secretaria dos Órgãos Colegiados;GRE/SOC;GRE
298112;Assessoria Administrativa;GRE/ADM;GRE
298114;Assessoria de Análise Processual;GRE/AAP;GRE
298111;Assessoria de Comunicação Institucional;GRE/ASCOM;GRE
298113;Assessoria de Parcerias e Acordos de Cooperação;GRE/APAC;GRE
24264;Secretaria de Administração Acadêmica;GRE/SAA;GRE
43326;Coordenação de Cursos, Currículos e Oferta (graduação e pós-graduação);GRE/SAA/CCC;GRE
43322;Coordenação de Graduação;GRE/SAA/CGR;GRE
43321;Coordenação de Orientação e Supervisão das Unidades Avançadas;GRE/SAA/COS;GRE
43323;Coordenação de Pós-Graduação;GRE/SAA/CRPG;GRE
